"pid","assessed_value"
1,219402.125
2,235125.671875
3,160579.484375
4,140530.78125
5,336809.09375
6,112244.3515625
7,222420.296875
8,504198.125
9,263275.125
10,549197.75
11,98273.2890625
12,387414.5625
13,113474.7109375
14,225021.6875
15,269222.78125
16,87137.8125
17,161376.40625
18,280398.96875
19,107198.4921875
20,134155.140625
21,290089.34375
22,116578.03125
23,189670.75
24,680920.5
25,524601.9375
26,110101.75
27,162509.046875
28,758467.875
29,72523.09375
30,84693.03125
31,137259.609375
32,159837.28125
33,369545.5625
34,206190.140625
35,261365.109375
36,422187.09375
37,129278.6796875
38,521564.875
39,425347.625
40,161052.09375
41,263399.8125
42,212947.828125
43,205852.171875
44,290619.46875
45,176602
46,440395.6875
47,461083.75
48,172246.40625
49,819110
50,460154.5
51,90143.640625
52,251621.15625
53,108415.53125
54,186344.84375
55,93364.5234375
56,284432.21875
57,239971.5625
58,399742.78125
59,108462.7578125
60,338942.9375
61,111768.09375
62,140066.234375
63,334254.71875
64,92401.75
65,207302
66,214917.359375
67,169789.625
68,319214.1875
69,205011.890625
70,171368.53125
71,146536.75
72,480881
73,122711.453125
74,124495.6953125
75,659363.0625
76,201349.75
77,193231.53125
78,145872.71875
79,116113
80,687681.75
81,146003.421875
82,250263.96875
83,267316.1875
84,149569.03125
85,149661.875
86,53924.6796875
87,183977.40625
88,124907.6953125
89,287471.03125
90,226736.5
91,108164.7109375
92,482713.59375
93,177475.1875
94,212640.71875
95,389619
96,123560.109375
97,190569.984375
98,146657.03125
99,454835.8125
100,209918.296875
101,254260.859375
102,274319.65625
103,226157.765625
104,232103.9375
105,383255.09375
106,195280.15625
107,257087.34375
108,264125.09375
109,546141.4375
110,63219.33203125
111,269316.15625
112,459225.09375
113,391639.3125
114,726557.0625
115,267260.53125
116,273044.4375
117,150270.1875
118,324330.1875
119,326163.4375
120,212067.03125
121,259943.6875
122,145350.046875
123,227535.6875
124,127963.25
125,297782.375
126,502074.65625
127,475000.03125
128,245347.34375
129,100410.4453125
130,268810.15625
131,190526.5
132,94942.671875
133,139762.1875
134,183505.28125
135,118651.0078125
136,275817.625
137,162823.625
138,87684.890625
139,222227.8125
140,127152.953125
141,131510.6875
142,309368.375
143,232964.90625
144,121791.28125
145,254053.65625
146,376059.1875
147,160994.125
148,184242.125
149,127717.4375
150,241422.671875
151,352723.59375
152,140432.015625
153,257994.09375
154,162147.171875
155,418523.5
156,171040.40625
157,383554.40625
158,232714.46875
159,161068.8125
160,388250.65625
161,368954.03125
162,200859.0625
163,210379.5
164,137461.4375
165,241422.671875
166,415067.5
167,126140.3203125
168,239800.546875
169,173799.171875
170,197617.34375
171,129986.6484375
172,563920.125
173,98137.421875
174,318736.59375
175,666843.8125
176,206619.578125
177,192136.21875
178,273756.71875
179,90182.1171875
180,192459.46875
181,480284.03125
182,98614.34375
183,322894
184,264992.28125
185,328421.8125
186,242388.9375
187,252519.296875
188,183433.484375
189,287067.28125
190,626206.5
191,118377.5078125
192,305320.125
193,712967.125
194,207688.015625
195,277096.375
196,115783.171875
197,158908.5625
198,283625.8125
199,289445.8125
200,176383.515625
201,219461.921875
202,214095.234375
203,237878.78125
204,281056.4375
205,274209.78125
206,154472.03125
207,484198.78125
208,132099.28125
209,142544.921875
210,203973.78125
211,200430.71875
212,188057.40625
213,370755.84375
214,82249
215,598514.5625
216,730603.3125
217,164686.28125
218,315388.78125
219,132868.40625
220,154329.234375
221,334503.09375
222,246601.328125
223,313985.65625
224,503025.125
225,250188.953125
226,161501.578125
227,468988.6875
228,564513.9375
229,497033.03125
230,325463.3125
231,416168.875
232,349669.75
233,212036.453125
234,235422.703125
235,308785.75
236,91916.1171875
237,344929.78125
238,252049.578125
239,657083.125
240,98665.8125
241,279514.5
242,510962.65625
243,686342.4375
244,271232.90625
245,221332.328125
246,157350.0625
247,319788.65625
248,177636.53125
249,249697.03125
250,222647.234375
251,286041
252,332092.46875
253,126274.3125
254,228933.03125
255,647252.8125
256,768373.5
257,487559.0625
258,75204.34375
259,211700.96875
260,99654.1015625
261,80103.2109375
262,714345.125
263,54942.640625
264,43149.52734375
265,269272.65625
266,377438.71875
267,259623.921875
268,294624.1875
269,119845.1640625
270,321929.21875
271,190775.03125
272,236778.421875
273,371384.6875
274,410168.84375
275,247024.640625
276,138467.875
277,786361.875
278,248352.921875
279,225760.4375
280,182378.15625
281,77607.734375
282,149116.078125
283,311009.71875
284,351779.9375
285,295591.9375
286,536139.125
287,363387.6875
288,227307
289,143660.296875
290,582551.875
291,207214.375
292,354164.96875
293,272484.96875
294,185793.4375
